#########################################################################
#                                                                       #
# PbWO4 configuration file                                              #
#                                                                       #
#                                                                       #
##--Update      Tigran Armand Rostomyan  09.Aug.2014                    #
#                                                                       #
#########################################################################
#
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:   72      1       1       1
RawHits:
#BitPattern: data/TAPS.pat
#
#         ADC#      low  high      ped     MeV/ch    TDC#     low     high      Off      ns/ch      Pos x      y     z (cm)
#
# BLOCK A
#
# 4 PWO Ring 1
Element:   29072  1.000 2000.0   80.14 0.348704 29260M0 -1000.0  1000.0 -5803.05 0.100000    6.543   -1.667  145.700
Element:   29074  1.000 2000.0  103.57 0.416159 29261M0 -1000.0  1000.0 -5822.31 0.100000    6.543   -4.333  145.700
Element:   29076  1.000 2000.0  111.58 0.413857 29262M0 -1000.0  1000.0 -5800.71 0.100000    3.849   -4.333  145.700
Element:   29078  1.000 2000.0  110.69 0.330123 29263M0 -1000.0  1000.0 -5809.55 0.100000    3.849   -1.667  145.700
#
# 4 PWO Ring 2
Element:   29080  1.000 2000.0   70.48 0.339134 29264M0 -1000.0  1000.0 -5782.34 0.100000   11.739   -4.667  145.700
Element:   29082  1.000 2000.0   83.23 0.332998 29265M0 -1000.0  1000.0 -5782.80 0.100000   11.739   -7.333  145.700
Element:   29084  1.000 2000.0  112.18 0.379667 29266M0 -1000.0  1000.0 -5793.01 0.100000    9.045   -7.333  145.700
Element:   29086  1.000 2000.0   83.94 0.350805 29267M0 -1000.0  1000.0 -5798.49 0.100000    9.045   -4.667  145.700
#
# 4 PWO Ring 2
Element:   29088  1.000 2000.0   88.69 0.328874 29268M0 -1000.0  1000.0 -5798.59 0.100000   11.739    1.333  145.700
Element:   29090  1.000 2000.0   96.82 0.332831 29269M0 -1000.0  1000.0 -5800.52 0.100000   11.739   -1.333  145.700
Element:   29092  1.000 2000.0   99.59 0.389779 29270M0 -1000.0  1000.0 -5802.45 0.100000    9.045   -1.333  145.700
Element:   29094  1.000 2000.0   84.40 0.213356 29271M0 -1000.0  1000.0 -5813.49 0.100000    9.045    1.333  145.700
#
# BLOCK E
#
# 4 PWO Ring 1
Element:   29096  1.000 2000.0   87.09 0.400008 29272M0 -1000.0  1000.0 -5801.87 0.100000    6.543    4.333  145.700
Element:   29098  1.000 2000.0   88.48 0.391770 29273M0 -1000.0  1000.0 -5817.10 0.100000    6.543    1.667  145.700
Element:   29100  1.000 2000.0   95.58 0.340995 29274M0 -1000.0  1000.0 -5806.12 0.100000    3.849    1.667  145.700
Element:   29102  1.000 2000.0   92.44 0.376572 29275M0 -1000.0  1000.0 -5808.82 0.100000    3.849    4.333  145.700
#
# 4 PWO Ring 2
Element:   29104  1.000 2000.0  112.29 0.338775 29276M0 -1000.0  1000.0 -5821.23 0.100000   11.739    7.333  145.700
Element:   29106  1.000 2000.0   88.49 0.336619 29277M0 -1000.0  1000.0 -5802.96 0.100000   11.739    4.667  145.700
Element:   29108  1.000 2000.0  101.84 0.594057 29278M0 -1000.0  1000.0 -5794.06 0.100000    9.045    4.667  145.700
Element:   29110  1.000 2000.0   97.47 0.351333 29279M0 -1000.0  1000.0 -5813.32 0.100000    9.045    7.333  145.700
#
# 4 PWO Ring 2
Element:   29112  1.000 2000.0   84.99 0.343596 29280M0 -1000.0  1000.0 -5802.58 0.100000    6.543   10.333  145.700
Element:   29114  1.000 2000.0   83.27 0.384161 29281M0 -1000.0  1000.0 -5797.72 0.100000    6.543    7.667  145.700
Element:   29116  1.000 2000.0   94.14 0.362956 29282M0 -1000.0  1000.0 -5795.52 0.100000    3.849    7.667  145.700
Element:   29118  1.000 2000.0   91.70 0.371823 29283M0 -1000.0  1000.0 -5819.66 0.100000    3.849   10.333  145.700
#
# BLOCK F
#
# 4 PWO Ring 1
Element:   29120  1.000 2000.0   90.04 0.357520 29284M0 -1000.0  1000.0 -5809.36 0.100000    1.347    7.333  145.700
Element:   29122  1.000 2000.0   87.63 0.415858 29285M0 -1000.0  1000.0 -5809.66 0.100000    1.347    4.667  145.700
Element:   29124  1.000 2000.0   90.03 0.461423 29286M0 -1000.0  1000.0 -5798.71 0.100000   -1.347    4.667  145.700
Element:   29126  1.000 2000.0   87.55 0.409327 29287M0 -1000.0  1000.0 -5808.20 0.100000   -1.347    7.333  145.700
#
# 4 PWO Ring 2
Element:   29128  1.000 2000.0   99.41 0.362992 29288M0 -1000.0  1000.0 -5814.38 0.100000    1.347   13.333  145.700
Element:   29130  1.000 2000.0   78.16 0.345219 29289M0 -1000.0  1000.0 -5791.52 0.100000    1.347   10.667  145.700
Element:   29132  1.000 2000.0   82.99 0.401609 29290M0 -1000.0  1000.0 -5798.13 0.100000   -1.347   10.667  145.700
Element:   29134  1.000 2000.0   81.43 0.375004 29291M0 -1000.0  1000.0 -5803.46 0.100000   -1.347   13.333  145.700
#
# 4 PWO Ring 2
Element:   29136  1.000 2000.0   86.24 0.352988 29292M0 -1000.0  1000.0 -5796.70 0.100000   -3.849   10.333  145.700
Element:   29138  1.000 2000.0   88.40 0.369992 29293M0 -1000.0  1000.0 -5799.02 0.100000   -3.849    7.667  145.700
Element:   29140  1.000 2000.0   86.75 0.397366 29294M0 -1000.0  1000.0 -5806.01 0.100000   -6.543    7.667  145.700
Element:   29142  1.000 2000.0   93.28 0.349590 29295M0 -1000.0  1000.0 -5805.47 0.100000   -6.543   10.333  145.700
#
##
Initialise:
##
#####################################################################
##      Histograming of basic detector stuff
#####################################################################
Display: 1D	NADChits    72 0 72
Display: 1D	NTDChits    72 0 72
Display: 1D     Nhits       72 0 72
Display: 1D	ADCHits	    72 0 72 
Display: 1D	TDCHits	    72 0 72 
Display: 1D     Hits        72 0 72 
Display: 1D     EnergyOR    500  0 500
Display: 1D     TimeOR      200 -1000 1000
Display: 2D     TimeOR      200 -1000 1000 -1 EnergyOR        500  0 500 -1
Display: 2D     EnergyOR    250 0 500 -1    Hits   72  0 72 -1
Display: 2D     TimeOR      200 -1000 1000 -1    Hits   72  0 72 -1
Display:  2D	 ClTheta     100 0 25 -1    ClPhi  180 -180 180 -1
Display: 1D	 Etot        400 0 800
#Display: 1D     Energy      400  0 400     0 72
